ADRNo;SOC;SOCCode: System Organ Class;HLT:Higher Level Term;HLTCode;PT: Preffered Term;PTCode;LLT: Lower Level Term;LLTCode
0025/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
0025/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
0025/19;Investigations;34;Renal and urinary investigations;262;Glucosuria;1079;Glucosuria;1960
0025/19;Investigations;34;Renal and urinary investigations;262;Haematuria;1077;Haematuria;1967
0025/19;Investigations;34;Metabolic investigations;254;Hyperglycaemia;903;Hyperglycaemia;1946
0026/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0027/19;Investigations;34;Serum protein investigations;251;Hypoproteinaemia;1037;Hypoproteinaemia;1976
0027/19;Investigations;34;Serum protein investigations;251;Hypoalbuminaemia;1036;Hypoalbuminaemia;1883
0028/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0029/19;Application site disorders;1;Injection site reactions;3;Injection site fibrosis;920;Injection site fibrosis;2008
0030/19;Renal and urinary disorders;15;Urinary bladder disorders;109;Urinary incontinence;436;Frequent urination;733
0030/19;Investigations;34;Renal and urinary investigations;262;Haematuria;1077;Blood in urine;1956
0030/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated BUN;2047
0030/19;Renal and urinary disorders;15;Urinary bladder disorders;109;Urinary bladder disorder NOS;435;Urinary bladder disorder NOS;732
0030/19;Renal and urinary disorders;15;Urinary bladder disorders;109;Cystitis;431;Cystitis;725
0030/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
0030/19;Respiratory tract disorders;17;Nasal cavity and sinus disorders;135;Sneezing;524;Sneezing;873
0030/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0030/19;Blood and lymphatic system disorders;3;Lymph node disorders;18;Lymph node abscess;932;Lymph node abscess;2060
0030/19;Systemic disorders;19;General signs or symptoms;154;Localised pain NOS;607;Localised pain NOS (see other 'SOCs' for specific pain);1026
0030/19;Systemic disorders;19;General signs or symptoms;154;Weight gain;620;Weight gain;1050
0030/19;Cardio-vascular system disorders;4;Cardiac/heart disorders;23;Murmur;133;Heart murmur;213
0030/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Listless;1022
0031/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
0032/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0033/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0034/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0034/19;Behavioural disorders;2;Other behavioural disorders;6;Vocalisation;78;Crying;130
0034/19;Behavioural disorders;2;Other behavioural disorders;6;Inappropriate urination;75;Inappropriate urination;124
0034/19;Systemic disorders;19;General signs or symptoms;154;Weight gain;620;Weight gain;1050
0034/19;Investigations;34;Conjunctival investigations;257;Keratoconjunctivitis sicca;293;Keratoconjunctivitis sicca;471
0035/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated ALT;2050
0035/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated SAP;2055
0036/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0037/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Loose stool;304
0038/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0038/19;Application site disorders;1;Injection site reactions;3;Injection site inflammation;51;Injection site warmth;1556
0038/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
0038/19;Systemic disorders;19;General signs or symptoms;154;Discomfort NOS;994;Discomfort NOS;2498
0038/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
0039/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0040/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Swelling NOS;1214
0040/19;Ear and labyrinth disorders;6;Internal ear disorders;43;Internal ear disorder;231;Internal ear disorder;369
0040/19;Skin and appendages disorders;18;Skin and tissue infections;225;Bacterial skin infection;725;Skin abscess;1754
0040/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin lesion NOS;582;Skin lesion NOS;966
0041/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0042/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0042/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
0042/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
0042/19;Systemic disorders;19;General signs or symptoms;154;Adipsia;338;Not drinking;541
0042/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Gait abnormality;1989
0042/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
0043/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0044/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0045/19;Systemic disorders;19;General signs or symptoms;154;Discomfort NOS;994;Discomfort NOS;2498
0045/19;Systemic disorders;19;General signs or symptoms;154;General pain;603;Pain NOS;1012
0045/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
0046/19;Application site disorders;1;Injection site reactions;3;Injection site serosanguinous discharge;62;Injection site weeping (see also 'skin');103
0046/19;Application site disorders;1;Injection site reactions;3;Injection site lesion;52;Injection site lesion;86
0046/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
0046/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
0047/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0047/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
0047/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Depression;1024
0048/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0048/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
0048/19;Application site disorders;1;Injection site reactions;3;Injection site inflammation;51;Injection site warmth;1556
0049/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0049/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0049/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Unsteady gait;1858
0049/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Self trauma;125
0049/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin disorders NOS;847;Skin sore;962
0049/19;Unclassifiable event;33;Unclassifiable adverse event;243;Product problem;978;Medication error;2282
0051/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
0051/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
0051/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
0052/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0052/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0052/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Depression;1024
0053/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Swelling NOS;1214
0054/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dehydration;1208
0054/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
0055/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0055/19;Application site disorders;1;Injection site reactions;3;Injection site mucopurulent discharge;53;Injection site mucopurulent discharge;88
0055/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
0056/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
0056/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dehydration;1208
0056/19;Investigations;34;Renal and urinary investigations;262;Elevated symmetrical dimethylarginine (SDMA);1071;Elevated SDMA (Symmetrical dimethylarginine);2583
0057/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
0057/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dehydration;1208
0058/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0058/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0058/19;Digestive tract disorders;5;Pancreas disorders;37;Pancreatitis;880;Pancreatitis;1891
0058/19;Investigations;34;Renal and urinary investigations;262;Proteinuria;1083;Proteinuria;1961
0058/19;Investigations;34;Renal and urinary investigations;262;Haematuria;1077;Haematuria;1967
0058/19;Investigations;34;Hepatobiliary investigations;258;Elevated liver enzymes;1052;Elevated ALT;2050
0058/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated SAP;2055
0058/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased red blood cell count;2157
0058/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased packed cell volume (PCV);2215
0059/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Paddling;1226
0059/19;Behavioural disorders;2;Other behavioural disorders;6;Vocalisation;78;Vocalisation;129
0060/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Tonic-clonic seizure;646
0061/19;Skin and appendages disorders;18;Skin and appendages neoplasms;146;Skin and/or appendage neoplasm NOS;559;Skin tumour NOS;923
0062/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (parvovirus);2552
0063/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
0064/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0064/19;Digestive tract disorders;5;Stomach disorders;38;Gastric dilation;636;Gastric distension;1092
0065/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
0065/19;Systemic disorders;19;Death;151;Death;592;Death;984
0066/19;Systemic disorders;19;Death;151;Death;592;Death;984
0066/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (virus NOS);2660
0067/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (virus NOS);2660
0067/19;Systemic disorders;19;Death;151;Death;592;Increased mortality rate;2092
0068/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0068/19;Systemic disorders;19;Death;151;Death;592;Increased mortality rate;2092
0070/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Skin hyperaemia;949
0070/19;Systemic disorders;19;General signs or symptoms;154;Congested mucous membrane;600;Hyperaemic mucosae;1005
0070/19;Digestive tract disorders;5;Intestinal disorders;236;Rectal haemorrhage;169;Rectal bleeding;272
0073/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
0073/19;Renal and urinary disorders;15;Urinary bladder disorders;109;Cystitis;431;Cystitis;725
0073/19;Digestive tract disorders;5;Pancreas disorders;37;Pancreatitis;880;Pancreatitis;1891
0076/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
0076/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0078/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0078/19;Systemic disorders;19;Death;151;Death;592;Death;984
0076/19;Systemic disorders;19;General signs or symptoms;154;Localised pain NOS;607;Localised pain NOS (see other 'SOCs' for specific pain);1026
0076/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
0076/19;Neurological disorders;14;Impaired consciousness;99;Impaired consciousness;663;Dullness;126
0079/19;Renal and urinary disorders;15;Renal disorders;107;Renal insufficiency;428;Renal failure;720
0079/19;Renal and urinary disorders;15;Renal disorders;107;Renal disorder NOS;426;Renal disorder NOS;719
0080/19;Neurological disorders;14;Neuromuscular disorders;101;Nystagmus;414;Nystagmus;691
0080/19;Neurological disorders;14;Central nervous system disorders;94;Central nervous system disorder NOS;389;Head tilt - neurological disorder;2523
0080/19;Eye disorders;8;Abnormal vision;52;Blindness;252;Blindness;406
0069/19;Immune system disorders;10;Allergic conditions;72;Urticaria;321;Urticaria;521
0069/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Licking;1997
0069/19;Behavioural disorders;2;Other behavioural disorders;6;Grooming disorder;908;Excessive licking and/or grooming;1974
0069/19;Application site disorders;1;Injection site reactions;3;Injection site pruritus;57;Injection site irritation;94
0083/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0083/19;Systemic disorders;19;Death;151;Death;592;Death;984
0084/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Hyperactivity;118
0084/19;Systemic disorders;19;General signs or symptoms;154;Increased appetite;779;Polyphagia;137
0085/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0085/19;Application site disorders;1;Injection site reactions;3;Injection site infection;44;Injection site abscess;72
0006/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0006/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
0006/19;Application site disorders;1;Injection site reactions;3;Injection site pruritus;57;Injection site irritation;94
0006/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Lameness;615
0090/19;Immune system disorders;10;Autoimmune disorders;70;Immune mediated haemolytic anaemia;882;Immune mediated haemolytic anaemia;1896
0090/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased packed cell volume (PCV);2215
0090/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
0090/19;Investigations;34;White blood cell investigations;250;Leucocytosis NOS;97;Leucocytosis;163
0090/19;Investigations;34;White blood cell investigations;250;Lymphocytosis;99;Lymphocytosis;165
0090/19;Investigations;34;White blood cell investigations;250;Monocytosis;1031;Monocytosis;2420
0090/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Anaemia NOS;142
0090/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
0090/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0090/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
0090/19;Investigations;34;Renal and urinary investigations;262;Urine abnormalities NOS;907;Discoloured urine;1964
0090/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract disorder NOS;187;Abnormal stool colouration;1981
0090/19;Cardio-vascular system disorders;4;Cardiac/heart disorders;23;Murmur;133;Heart murmur;213
0090/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
0090/19;Cardio-vascular system disorders;4;Circulatory disorders;24;Hypotension;139;Prolonged capillary refill time;1937
0090/19;Systemic disorders;19;Systemic disorders NOS;158;Systemic disorder NOS;622;Weak pulse;2187
0050/19;Systemic disorders;19;Death;151;Death;592;Death;984
0088/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0088/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
0094/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0094/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
0094/19;Systemic disorders;19;General signs or symptoms;154;Adipsia;338;Not drinking;541
0094/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Reluctant to move;1025
0094/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Dull;2274
0094/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Less social;2411
0077/19;Application site disorders;1;Application site reactions;1;Application site reaction NOS;16;Application site irritation;24
0077/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site hair loss;3
0077/19;Application site disorders;1;Application site reactions;1;Application site skin change;963;Application site dry skin;2514
0077/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site pruritus;25
0077/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0077/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
0075/19;Neurological disorders;14;Impaired consciousness;99;Sedation;664;Recovery prolonged;1904
0075/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Opisthotonus;644
0075/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Trembling;687
0075/19;Neurological disorders;14;Neuromuscular disorders;101;Hypertonia;778;Rigidity of limbs;1731
0075/19;Neurological disorders;14;Neuromuscular disorders;101;Nystagmus;414;Horizontal nystagmus;1143
0075/19;Neurological disorders;14;Central nervous system disorders;94;Central nervous system disorder NOS;389;Head tremor;1900
0075/19;Eye disorders;8;Abnormal vision;52;Impaired vision;253;Sight affected;408
0075/19;Neurological disorders;14;Neuromuscular disorders;101;Hyporeflexia;409;Reduced reflexes;676
0075/19;Neurological disorders;14;Neuromuscular disorders;101;Hypertonia;778;Rigidity;1730
0059/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0072/19;Respiratory tract disorders;17;Nasal cavity and sinus disorders;135;Sneezing;524;Sneezing;873
0072/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Respiratory tract infection NOS;651;Respiratory tract infection NOS;1182
0081/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
0071/19;Digestive tract disorders;5;Other digestive tract disorders;35;Haemorrhagic diarrhoea;195;Haemorrhagic diarrhoea;314
0071/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
0071/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dehydration;1208
0004/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0101/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0081/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
0100/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
0100/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0082/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Unsettled;2673
0082/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Pacing;2208
0082/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Panting;855
0082/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Restlessness;119
0099/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
0099/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Unsteady gait;1858
0086/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
0086/19;Immune system disorders;10;Allergic conditions;72;Urticaria;321;Urticaria;521
0103/19;Skin and appendages disorders;18;Hair follicle and sebaceous gland disorders;144;Alopecia;708;Alopecia;1309
0103/19;Reproductive system disorders;16;Vulvovaginal disorders;130;Vulvovaginitis;499;Swollen vulva;825
0091/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Itching;958
0091/19;Behavioural disorders;2;Other behavioural disorders;6;Grooming disorder;908;Excessive licking and/or grooming;1974
0091/19;Skin and appendages disorders;18;Hair follicle and sebaceous gland disorders;144;Alopecia;708;Alopecia local;900
0103/19;Behavioural disorders;2;Sexual disorders NOS;8;Sexual disorder NOS;82;Attractiveness to males;2061
0092/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
0092/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site reaction NOS;100
0095/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0096/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0097/19;Skin and appendages disorders;18;Skin disorders NOS;239;Skin lesion NOS;582;Skin lesion NOS;966
0093/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0098/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
0098/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Mucous stool;1080
0098/19;Digestive tract disorders;5;Intestinal disorders;236;Colitis;164;Colitis;265
0098/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract haemorrhage NOS;188;Blood in faeces;1081
0098/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0098/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
0098/19;Digestive tract disorders;5;Intestinal disorders;236;Tenesmus;170;Straining to defecate;2453
0106/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
0106/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
0106/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0106/19;Systemic disorders;19;General signs or symptoms;154;Jaundice;309;Icterus;499
0106/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Other abnormal test result NOS;1221
0106/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatomegaly;307;Enlarged liver;495
0106/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased red blood cell count;2157
0106/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
